ID;Plot;Plant_sp;Plant_sp_complete;Plant_id;N_fruit;N_seeds;Weight;predated_seeds;Antagonist_collected;Notes;Num_fruit;Num_seeds;Seeds_depredadas;Promedio
132;B;HCOM;Halimium_commutatum;125;1;1;;;;;;;;
132;B;HCOM;Halimium_commutatum;125;2;2;;;;;;;;
132;B;HCOM;Halimium_commutatum;125;3;3;;;;;;;;
132;B;HCOM;Halimium_commutatum;125;4;2;;;;;;;;
132;B;HCOM;Halimium_commutatum;125;5;3;;;;;;;;
132;B;HCOM;Halimium_commutatum;125;6;3;;;;;;;;
132;B;HCOM;Halimium_commutatum;125;7;2;;;;;;;;
132;B;HCOM;Halimium_commutatum;125;8;3;;;;;;;;
132;B;HCOM;Halimium_commutatum;125;9;3;;;;;;;;
132;B;HCOM;Halimium_commutatum;125;10;2;;;;;;;;
133;B;HCOM;Halimium_commutatum;126;1;2;;;;;;;;
133;B;HCOM;Halimium_commutatum;126;2;2;;;;;;;;
133;B;HCOM;Halimium_commutatum;126;3;2;;;;;;;;
133;B;HCOM;Halimium_commutatum;126;4;2;;;;;;;;
133;B;HCOM;Halimium_commutatum;126;5;1;;;;;;;;
133;B;HCOM;Halimium_commutatum;126;6;2;;;;;;;;
133;B;HCOM;Halimium_commutatum;126;7;3;;;;;;;;
133;B;HCOM;Halimium_commutatum;126;8;2;;;;;;;;
133;B;HCOM;Halimium_commutatum;126;9;2;;;;;;;;
133;B;HCOM;Halimium_commutatum;126;10;2;;;;;;;;
134;B;HCOM;Halimium_commutatum;127;1;3;;;;;;;;
134;B;HCOM;Halimium_commutatum;127;2;5;;;;;;;;
134;B;HCOM;Halimium_commutatum;127;3;3;;;;;;;;
134;B;HCOM;Halimium_commutatum;127;4;5;;;;;;;;
134;B;HCOM;Halimium_commutatum;127;5;4;;;;;;;;
134;B;HCOM;Halimium_commutatum;127;6;5;;;;;;;;
134;B;HCOM;Halimium_commutatum;127;7;2;;;;;;;;
134;B;HCOM;Halimium_commutatum;127;8;5;;;;;;;;
134;B;HCOM;Halimium_commutatum;127;9;0;;;1;Larva muerta;;;;
134;B;HCOM;Halimium_commutatum;127;10;3;;;;;;;;
135;B;HCOM;Halimium_commutatum;128;1;3;;;;;;;;
135;B;HCOM;Halimium_commutatum;128;2;3;;;;;;;;
135;B;HCOM;Halimium_commutatum;128;3;4;;;;;;;;
135;B;HCOM;Halimium_commutatum;128;4;4;;;;;;;;
135;B;HCOM;Halimium_commutatum;128;5;3;;;;;;;;
135;B;HCOM;Halimium_commutatum;128;6;1;;1;1;Larva;;;;
135;B;HCOM;Halimium_commutatum;128;7;1;;;;;;;;
135;B;HCOM;Halimium_commutatum;128;8;4;;;;;;;;
135;B;HCOM;Halimium_commutatum;128;9;2;;;;;;;;
135;B;HCOM;Halimium_commutatum;128;10;2;;;;Blanquecinas;;;;
136;B;HCOM;Halimium_commutatum;129;1;3;;;;;;;;
136;B;HCOM;Halimium_commutatum;129;2;1;;;;;;;;
136;B;HCOM;Halimium_commutatum;129;3;3;;;;;;;;
136;B;HCOM;Halimium_commutatum;129;4;2;;;;;;;;
136;B;HCOM;Halimium_commutatum;129;5;4;;;;;;;;
136;B;HCOM;Halimium_commutatum;129;6;3;;;;;;;;
136;B;HCOM;Halimium_commutatum;129;7;3;;;;;;;;
136;B;HCOM;Halimium_commutatum;129;8;2;;;;;;;;
136;B;HCOM;Halimium_commutatum;129;9;4;;;;;;;;
136;B;HCOM;Halimium_commutatum;129;10;3;;;;;;;;
137;B;HCOM;Halimium_commutatum;130;1;4;;;;;;;;
137;B;HCOM;Halimium_commutatum;130;2;2;;;;;;;;
137;B;HCOM;Halimium_commutatum;130;3;5;;;;;;;;
137;B;HCOM;Halimium_commutatum;130;4;6;;;;;;;;
137;B;HCOM;Halimium_commutatum;130;5;3;;;;;;;;
137;B;HCOM;Halimium_commutatum;130;6;3;;;;;;;;
137;B;HCOM;Halimium_commutatum;130;7;3;;;;;;;;
137;B;HCOM;Halimium_commutatum;130;8;4;;;;;;;;
137;B;HCOM;Halimium_commutatum;130;9;2;;;;;;;;
137;B;HCOM;Halimium_commutatum;130;10;4;;;;;;;;
138;B;HCOM;Halimium_commutatum;131;1;2;;;;Fruto abierto pero parece que no se han caído semillas;;;;
138;B;HCOM;Halimium_commutatum;131;2;1;;;;Fruto abierto pero parece que no se han caído semillas;;;;
138;B;HCOM;Halimium_commutatum;131;3;2;;;;;;;;
138;B;HCOM;Halimium_commutatum;131;4;1;;;;;;;;
138;B;HCOM;Halimium_commutatum;131;5;1;;;;;;;;
138;B;HCOM;Halimium_commutatum;131;6;1;;;;;;;;
138;B;HCOM;Halimium_commutatum;131;7;1;;;;;;;;
138;B;HCOM;Halimium_commutatum;131;8;1;;;;;;;;
138;B;HCOM;Halimium_commutatum;131;9;3;;;;;;;;
